no,candidate,constituency,party,cases,education,total_assets,liabilities
2483,Nisha Raj,ATRAULI,Sarv Sambhaav Party,0,8th Pass,11833064,0
2484,Nishant,SHIVPUR,NCP,0,Graduate,260000,0
2485,Nishant Kumar Sharma,SHIKARPUR,IND,0,Literate,53872,0
2486,Nitendar Gupta,FIROZABAD,Lok Dal,0,8th Pass,1131000,0
2487,Nitesh Kumar,KALPI,Jan Adhikar Party (Loktantrik),0,Post Graduate,4920053,400000
2488,Nitin Agarwal,HARDOI,SP,0,Post Graduate,190451000,16460000
2489,Nitin Anand,KAIMGANJ (SC),IND,0,Graduate,650296,0
2490,Nitin Dwivedi,LUCKNOW WEST,IND,2,Graduate,27600681,12157730
2491,Nitin Singh Jaimini Rajput,BHOJPUR,BSP,1,Graduate,1383700,0
2492,Nitya Nand Pandey,DEORIA,IND,0,Post Graduate,25681611,0
2493,Nityanand Yadav,SAIYADRAJA,IND,0,10th Pass,85400,0
2494,Nizam,MODI NAGAR,IND,1,12th Pass,2442466,0
2495,Nizamuddin,ALLAHABAD WEST,IND,0,Illiterate,51153500,0
2496,Noor Jahan Jafri,BHOJIPURA,IND,0,8th Pass,30810700,130000
2497,Noor Saleem Rana,CHARTHAWAL,BSP,2,12th Pass,144146055,33419066
2498,Noraj Singh,BAGHPAT,Bhartiya Tarak Samaj Party,0,10th Pass,3367232,0
2499,Nrendra Mani Tripathi,DEORIA,Lok Dal,0,Graduate Professional,16726986,0
2500,Nur Mohammad,SEVATA,IND,0,Illiterate,2655000,90000
2501,Nurul Hada,TAMKUHI RAJ,Rashtriya Janadhar Party,0,Graduate,356000,0
2502,Om Kumar,NEHTAUR (SC),BJP,0,12th Pass,435176360,112837870
2503,Om Pal Singh,KHAIR (SC),RLD,0,Graduate,3008564,0
2504,Om Pal Singh Yadav,ALIGANJ,IND,0,12th Pass,14982000,400000
2505,Om Prakash,BHOGNIPUR,Bahujan Mukti Party,0,12th Pass,144600,0
2506,Om Prakash,MOHAMMDI,IND,0,Literate,528266,0
2507,Om Prakash,HAMIRPUR,Bahujan Mukti Party,0,Literate,1393000,0
2508,Om Prakash,LAKHIMPUR,Bharatiya Subhash Sena,0,8th Pass,6453000,0
2509,Om Prakash,BABINA,IND,0,10th Pass,30330,0
2510,Om Prakash,ZAMANIA,SP,4,Post Graduate,30312320,607054
2511,Om Prakash,TANDA,Bahujan Mukti Party,0,Not Given,570000,0
2512,Om Prakash Dubey,BADLAPUR,SP,2,10th Pass,37439494,9088733
2513,Om Prakash Gihar,KHAGA (SC),INC,1,Post Graduate,4402000,1000000
2514,Om Prakash Pandey,ISAULI,BJP,0,12th Pass,13715592,0
2515,Om Prakash Rajbhar,ZAHOORABAD,Suheldev Bhartiya Samaj Party,1,Graduate,16845133,250000
2516,Om Prakash Tiwari,SHAHGANJ,IND,0,Graduate Professional,195875,0
2517,Om Prakash(O.P. Singh),SHAHGANJ,BSP,3,Post Graduate,102086060,0
2518,Oma Shankar,AGRA RURAL (SC),Jan Adhikar Manch,0,Graduate,83100,0
2519,Omendra Kumar Verma,SANDI (SC),INC,0,Graduate Professional,3774044,0
2520,Omendra Singh,ETAH,IND,0,Post Graduate,4711247,0
2521,Omkar Singh,SAHASWAN,SP,0,Graduate Professional,45812319,0
2522,Omkar Singh Verma,DADRAUL,Lok Dal,0,10th Pass,2197000,126000
2523,Ompal,SHAMLI,Bharat Janta Dal (Tughlaq),0,Illiterate,160500,0
2524,Omprakash,LALITPUR,Bahujan Mukti Party,0,8th Pass,236500,0
2525,Omprakash,MEHNAUN,IND,0,12th Pass,6761100,300000
2526,Omprakash,MEHNAUN,IND,0,12th Pass,2493000,0
2527,Omprakash,AGRA CANTT. (SC),Bhartiya Sarvodaya Party,0,Literate,2177000,0
2528,Omprakash,OBRA (ST),IND,0,5th Pass,1805000,0
2529,Omprakash Das,KURSI,Bhartiya Krishak Dal,0,5th Pass,403300,0
2530,Omveer Singh,BABINA,RLD,0,Graduate,1675000,0
2531,Omwati Devi,NAGINA (SC),BJP,0,8th Pass,33270845,0
2532,Oosha Verma,LAKHIMPUR,Mahila Sashaktikaran Party,0,12th Pass,27285,0
2533,Padam Singh,KASGANJ,IND,0,8th Pass,3315000,0
2534,Padamrag Singh Yadav,SAWAYAZPUR,SP,0,Post Graduate,18927580,100000
2535,Padma Agrawal,AGRA SOUTH,Brij Kranti Dal,0,Literate,1872839,450000
2536,Padma Devi,UNNAO,IND,0,10th Pass,688000,0
2537,Pahalwan,MADHUBAN,Jan Adhikar Party,0,10th Pass,15260866,2600000
2538,Pal Singh,MAINPURI,IND,0,Graduate,2771740,0
2539,Palturam,BALRAMPUR (SC),BJP,1,Post Graduate,23658309,1626985
2540,Pancham Lal,KORAON (SC),CPI(ML)(L),1,Graduate,6000,0
2541,Pankaj,BELTHARA ROAD (SC),IND,0,Graduate,88015,0
2542,Pankaj Gupta,UNNAO,BJP,1,Graduate,48370123,5295253
2543,Pankaj Jauli,MEERUT,BSP,0,10th Pass,36763229,2231000
2544,Pankaj Kumar,BALAMAU (SC),Bhartiya Krishak Dal,0,Graduate Professional,2509703,0
2545,Pankaj Kumar,BHADOHI,Ojaswi Party,0,Graduate,852000,0
2546,Pankaj Kumar Malik,SHAMLI,INC,0,Graduate Professional,53591729,3567200
2547,Pankaj Kumar Singh,PRATAPPUR,IND,0,Graduate Professional,16927529,0
2548,Pankaj Kumar Singh,BAGHPAT,IND,0,Graduate,1248000,0
2549,Pankaj Mishra,SIRSAGANJ,Jan Adhikar Manch,3,12th Pass,41983000,0
2550,Pankaj Pandey,SANDILA,Bhartiya Krishak Dal,0,8th Pass,3608000,720000
2551,Pankaj Singh,NOIDA,BJP,0,Graduate,30393622,1500000
2552,Pankaj Tripathi,UNNAO,BSP,0,Post Graduate,33814685,5000000
2553,Panna Lal Yadav,VARANASI CANTT.,IND,1,Graduate,266853,0
2554,Pannalal,KARHAL,IND,0,12th Pass,7006000,1350000
2555,Pannalal Urf Bablu Saini,MORADABAD RURAL,BSP,0,8th Pass,1270092,449654
2556,Pappu,ASMOLI,IND,0,Literate,330000,0
2557,Pappu,MEERUT SOUTH,RLD,0,10th Pass,53966605,14290
2558,Pappu,BALAMAU (SC),Bahujan Mukti Party,0,8th Pass,64701,0
2559,Pappu Singh,HUSAINGANJ,RLD,0,10th Pass,7580000,700000
2560,Pappu Singh,KUNDARKI,IND,0,Post Graduate,339575,0
2561,Paramjeet Sharma,GOLA GOKRANNATH,Bharatiya Subhash Sena,0,Graduate Professional,6558000,280000
2562,Paras Nath,MARIHAN,Aadim Samaj Party,0,10th Pass,2600000,0
2563,Paras Nath Yadav,MALHANI,SP,0,12th Pass,16929196,0
2564,Parashuram,MADHAUGARH,IND,0,12th Pass,173716,0
2565,Parashuram Mishra,PADRAUNA,IND,0,Graduate Professional,17260000,184000
2566,Parasnath Dhangar,SALON (SC),RLD,0,12th Pass,245000,0
2567,Parasnath Vishwakarma,RANIGANJ,SUCI(C),0,5th Pass,2540995,0
2568,Parbhu,MUHAMMADABAD-GOHNA (SC),Pichhravarg Mahapanchayat Party,0,Literate,2410000,0
2569,Pardeshi,CHAKIA (SC),Bharat Kalyan Party,0,Graduate Professional,21000,0
2570,Paritosh,BADLAPUR,SHS,0,Not Given,7102522,0
2571,Paritosh Kumar,PRATAPGARH,IND,0,Graduate,14300,0
2572,Parmanand,MOHAMMADABAD,Jan Adhikar Party,0,Post Graduate,1206474,0
2573,Paro Kinnar,LAKHIMPUR,IND,0,Illiterate,1000000,0
2574,Parul Sharma,MORADABAD RURAL,IND,0,Literate,1177000,1000
2575,Parvat Lal,LALITPUR,CPI,0,Graduate Professional,3661500,0
2576,Parvej Khan,TULSIPUR,IND,2,8th Pass,1438000,95000
2577,Parvej Khan,MIRZAPUR,Bharat Nyay Dal,0,8th Pass,22000,0
2578,Parvesh Kumar,NAKUR,Ambedkar Samaj Party,0,Graduate,11190000,8030000
2579,Parvez Ahmad,ALLAHABAD SOUTH,SP,1,12th Pass,87856934,13713068
2580,Parvez Ahmad,UTRAULA,BSP,0,Graduate Professional,50296794,0
2581,Parvez Akhtar,KUNDA,BSP,0,12th Pass,9957200,975072
2582,Parvez Ali,THANA BHAWAN,IND,0,Literate,0,0
2583,Parvez Aqil,BIJNOR,All India Minorities Front,0,Graduate,104992,0
2584,Parvez Khan,KOIL,All India Majlis-E-Ittehadul Muslimeen,3,Post Graduate,2443482,0
2585,Parvez Quadir Khan,VARANASI CANTT.,Ittehad-E-Millait Council,1,10th Pass,10490800,1402684
2586,Parvez Quadir Khan,VARANASI SOUTH,IND,1,10th Pass,10500800,1402684
2587,Parwati Devi,ROHANIYA,IND,0,Literate,3174758,0
2588,Patesar Singh,KATRA BAZAR,IND,0,12th Pass,2636326,150000
2589,Patiram,AZAMGARH,RLD,0,Post Graduate,2579414,500000
2590,Pavan,SHAHGANJ,Jan Adhikar Party,0,Graduate,85000,70000
2591,Pavan Yadav,BABINA,Sarv Sambhaav Party,0,Graduate,6382100,1600000
2592,Pavitra Pal,SYANA,Rashtriya Kranti Party,0,Graduate Professional,311000,509000
2593,Pawan Gulati,BILSI,IND,0,12th Pass,1091469,1630
2594,Pawan Kumar,KATRA BAZAR,Hamari Apni Party,0,10th Pass,66159,0
2595,Pawan Kumar,BABAGANJ (SC),BJP,1,Graduate Professional,5674000,4550
2596,Pawan Kumar,NAUGAWAN SADAT,Lok Dal,0,10th Pass,1165000,0
2597,Pawan Kumar,HATA,BJP,4,Post Graduate,26579844,1763610
2598,Pawan Kumar Bhanu,TIRWA,IND,0,Post Graduate,75000,0
2599,Pawan Kumar Saroj,MALIHABAD (SC),Rashtriya Shahri Vikas Party,0,12th Pass,106000,0
2600,Pawan Kumar Singh,BITHOOR,IND,0,Graduate,1210000,60000
2601,Pawan Kumar Singh,SANDILA,BSP,0,Graduate Professional,107499075,2335105
2602,Pawan Prajapati,RUDAULI,IND,0,8th Pass,159453,0
2603,Pawan Tripathi,PHAPHAMAU,Yuva Vikas Party,0,12th Pass,187000,0
2604,Payal Maheshwari,MUZAFFAR NAGAR,RLD,0,Literate,9172637,1437562
2605,Peetam Ram,PURANPUR (SC),SP,0,Literate,15063266,0
2606,Percy Garden Das,UTRAULA,IND,0,Graduate Professional,10144730,0
2607,Phakkad Baba,MATHURA,IND,0,5th Pass,29217,0
2608,Phool Chandra,SORAON (SC),CPI(M),0,Literate,1414555,0
2609,Phool Chandra,BARA (SC),Nirbal Indian Shoshit Hamara Aam Dal,3,Graduate,27699856,0
2610,Phool Singh,ALIGANJ,IND,0,8th Pass,40000,0
2611,Phool Singh Chaudhary,NAGINA (SC),Peace Party,0,Doctorate,10584000,450000
2612,Pingal Prasad,KAPILVASTU (SC),IND,0,12th Pass,560000,0
2613,Pinki Singh,ASMOLI,SP,0,Graduate Professional,25475000,200000
2614,Pintu,HATHRAS (SC),Rashtravadi Pratap Sena,0,5th Pass,190639,0
2615,Piyush,MAHASI,IND,0,Graduate,58000,0
2616,Piyush Ranjan,KARACHHANA,BJP,0,12th Pass,75226106,13827695
2617,Piyush Sharma,RAE BARELI,IND,0,12th Pass,131500,0
2618,Pooja,BALHA (SC),IND,0,10th Pass,179873,175474
2619,Pooja Pal,ALLAHABAD WEST,BSP,3,Graduate,18511062,3254658
2620,Poonam,SULTANPUR,Bahujan Mukti Party,0,Literate,45000,0
2621,Poonam,CHAKIA (SC),SP,0,10th Pass,8635904,1100000
2622,Poonam,BANSDIH,IND,0,Not Given,691000,0
2623,Poonam Gupta,CHILLUPAR,IND,0,12th Pass,9605919,360000
2624,Poonam Sankhavar,RASULABAD (SC),BSP,0,Post Graduate,24793000,1606000
2625,Poonam Sen,FARIDPUR (SC),RLD,1,Post Graduate,169998440,20899219
2626,Pooran,GOVERDHAN,IND,0,8th Pass,774980,0
2627,Pooran Prakash,BALDEV (SC),BJP,0,Graduate Professional,78202766,1500000
2628,Poorna Singh,PATIYALI,Manav Hit Party,0,8th Pass,8485000,1150000
2629,Prabal Pratap Shahi,GORAKHPUR URBAN,IND,1,Post Graduate,28000,35000
2630,Prabha Shankar Sriwastva,ROBERTSGANJ,IND,0,12th Pass,2420000,0
2631,Prabha Shankar Tripathi,RUDRAPUR,IND,0,Graduate Professional,5038028,135000
2632,Prabhakar Pandey,BHINGA,IND,0,Graduate Professional,1627157,0
2633,Prabhash Kumar,SANDI (SC),BJP,0,12th Pass,28220000,0
2634,Prabhat Kumar Verma,GAURA,BJP,3,Post Graduate,7860200,2300000
2635,Prabhat Tripathi,HANDIA,IND,0,Graduate Professional,46865178,2345000
2636,Prabhu Dayal,HASTINAPUR (SC),SP,0,10th Pass,14767260,0
2637,Prabhu Dayal,KHURJA (SC),Rashtriya Janpriya Party,0,10th Pass,86000,0
2638,Prabhu Dayal,ROBERTSGANJ,IND,0,12th Pass,1100000,0
2639,Prabhu Narayan,ROHANIYA,IND,0,Literate,84518,0
2640,Prabhu Nath Rai,LUCKNOW EAST,IND,0,12th Pass,34390421,598181
2641,Prabhunarayan Yadav,SAKALDIHA,SP,6,Graduate,14048917,2540000
2642,Prabudh Kumar,MEERUT SOUTH,Bharatiya Bahujan Parivartan Party,0,12th Pass,3364700,0
2643,Pradeep,SHAHABAD,Rashtriya Shahri Vikas Party,0,Post Graduate,4185000,0
2644,Pradeep,PATHARDEVA,Bhartiya Shakti Chetna Party,0,12th Pass,53000,0
2645,Pradeep,ZAFRABAD,Bahujan Mukti Party,0,8th Pass,524000,0
2646,Pradeep Garg,BAH,IND,0,12th Pass,3008569,2020000
2647,Pradeep Gupta,KHALILABAD,IND,0,12th Pass,4548000,1700000
2648,Pradeep Kumar,ETAH,Jan Adhikar Party,1,12th Pass,2127700,0
2649,Pradeep Kumar,AMRITPUR,Lok Dal,0,Graduate,16718977,0
2650,Pradeep Kumar,GANGOH,BJP,5,Post Graduate,13552268,1100420
2651,Pradeep Kumar,MAINPURI,RLD,0,12th Pass,10312000,0
2652,Pradeep Kumar,MEERUT SOUTH,IND,0,10th Pass,2402414,733894
2653,Pradeep Kumar,BILASPUR,BSP,0,Graduate,141627419,1959677
2654,Pradeep Kumar,MARIYAHU,Rashtriya Samaj Paksha,0,10th Pass,222300,0
2655,Pradeep Kumar,ZAFRABAD,IND,0,10th Pass,1474000,0
2656,Pradeep Kumar Gupta,LALITPUR,IND,0,Post Graduate,1280905,38383
2657,Pradeep Kumar Kori,AYODHYA,RPI(A),0,Graduate,222243,0
2658,Pradeep Kumar Singh (P.K. Singh),LUCKNOW EAST,Sarvodaya Bharat Party,0,Post Graduate,27094000,0
2659,Pradeep Kumar Yadav,DIBIYAPUR,SP,0,Graduate Professional,34747006,2824047
2660,Pradeep Mathur,MATHURA,INC,0,Not Given,32437428,2938794
2661,Pradeep Mishra,SITAPUR,Lok Dal,1,12th Pass,904621,843197
2662,Pradeep Saxena,AONLA,Jan Jan Party,0,Post Graduate,49630300,6955000
2663,Pradeep Saxena,ETAWAH,IND,0,8th Pass,471500,0
2664,Pradeep Sharma,MEERUT CANTT.,IND,0,10th Pass,153200,0
2665,Pradeep Sirohi,SYANA,Rashtriya Kisan Majdoor Party,0,10th Pass,10721281,282500
2666,Pradeep Verma,AGRA CANTT. (SC),IND,0,12th Pass,200000,0
2667,Pradhumn,MAHARAJPUR,IND,0,Graduate,405222,0
2668,Pradip Kumar,TILHAR,RLD,0,Post Graduate,360000,0
2669,Pradyumn Kumar Verma,MOHMOODABAD,BSP,3,Post Graduate,38042166,422343
2670,Prafull,PANIYRA,IND,0,12th Pass,3991000,60000
2671,Pragee Lal,MAURANIPUR (SC),BSP,1,Literate,11941890,581316
2672,Pragya Devi,KHAIR (SC),Swatantra Jantaraj Party,0,10th Pass,217000,0
2673,Prahalad Singh,MADHAUGARH,RLD,0,10th Pass,953000,0
2674,Prahlad Ram,NAWABGANJ,Sarvajan Kalyan Loktantrik Party,0,12th Pass,5635126,80000
2675,Prakash Chandra,BANDA,BJP,0,Graduate,147929430,40429688
2676,Prakash Chandra,MEHNAGAR (SC),Bahujan Mukti Party,0,10th Pass,703000,0
2677,Prakash Singh Yadav,ZAHOORABAD,Janta Raj Party,0,Post Graduate,128600,0
2678,Pramila,JALALPUR,Moulik Adhikar Party,0,Literate,191500,0
2679,Pramila Devi,HANDIA,Apna Dal (Soneylal),0,12th Pass,43065859,8715000
2680,Pramod,ROHANIYA,BSP,0,Graduate,146508453,117000
2681,Pramod Alias Pramod Kumar Goswami,BAGHPAT,Bhartiya Naujawan Inklav Party,0,8th Pass,1585000,250000
2682,Pramod Chandra,PHULPUR,RLD,1,Graduate Professional,80000,0
2683,Pramod Krishna,MATHURA,IND,0,12th Pass,650000,0
2684,Pramod Kumar,JASRANA,Hind Vikas Party,0,Post Graduate,70000,0
2685,Pramod Kumar,PRATAPGARH,IND,0,Post Graduate,8870268,6225000
2686,Pramod Kumar,SHAHABAD,Lok Dal,0,12th Pass,6182090,0
2687,Pramod Kumar,BARAULI,IND,0,10th Pass,355800,0
2688,Pramod Kumar,SAROJINI NAGAR,IND,0,Graduate Professional,6893807,741400
2689,Pramod Kumar,MAHOBA,Jan Adhikar Party,0,12th Pass,1792000,0
2690,Pramod Kumar,MAHASI,Sabka Dal United,1,8th Pass,3997386,0
2691,Pramod Kumar,MAU,Jan Adhikar Party,0,Graduate,65000,0
2692,Pramod Kumar,SHOHRATGARH,Rastriya Aam Jan Seva Party,0,5th Pass,2417007,0
2693,Pramod Kumar Jaiswal,ARYA NAGAR,INC,0,Graduate,244691559,0
2694,Pramod Kumar Lodhi,RUDAULI,Sabka Dal United,1,8th Pass,3997386,0
2695,Pramod Kumar Yadav,TILHAR,Bhartiya Krishak Dal,0,Post Graduate,1642900,0
2696,Pramod Paswan,BANSDIH,IND,0,8th Pass,170125,0
2697,Pramod Singh Singh,KARACHHANA,IND,0,12th Pass,946000,496000
2698,Pramod Singh Yadav,LUCKNOW WEST,RLD,1,Graduate Professional,5538000,0
2699,Pramod Tyagi,BUDHANA,SP,0,Graduate Professional,28859396,1175000
2700,Pramod Utwal,PURQAZI (SC),BJP,0,8th Pass,9935502,0
2701,Prananjany,RANIGANJ,IND,0,Graduate,924900,0
2702,Pranshu Joshi,MORADABAD RURAL,IND,1,8th Pass,0,0
2703,Prasad,KAISERGANJ,IND,0,Literate,202000,0
2704,Prashant Choudhary,GARHMUKTESHWAR,BSP,1,Post Graduate,265731343,5917980
2705,Prashant Kumar,KHAIR (SC),SP,1,12th Pass,624800,0
2706,Prashant Singh,LUCKNOW CANTT.,Indian Savarn Samaj Party,0,Graduate,372757,0
2707,Prashant Soni,LUCKNOW WEST,Bhartiya Shakti Chetna Party,0,Graduate Professional,119755,47016
2708,Pratap Gujar,AGRA NORTH,IND,0,12th Pass,1129905,0
2709,Pratap Singh,DADRAUL,IND,0,Graduate Professional,4090000,500000
2710,Prateek Singh,GONDA,BJP,1,Graduate Professional,48908815,0
2711,Pratibha,AKBARPUR-RANIYA,IND,0,Graduate,1394000,150000
2712,Pratibha Shukla,AKBARPUR-RANIYA,BJP,0,Post Graduate,47637179,4320289
2713,Pratibha Singh,MEHNAUN,IND,0,Graduate,32836497,7388000
2714,Pratima Chak,KIDWAI NAGAR,Desh Shakti Party,0,Post Graduate,113515,0
2715,Pratosh Kumar,DUDDHI (ST),IND,0,Literate,155300,0
2716,Praveen Kumar,JAUNPUR,Rashtriya Shahri Vikas Party,0,8th Pass,65000,0
2717,Praveen Kumar,MAHARAJPUR,IND,0,Graduate Professional,108277,0
2718,Praveen Kumar,SRI NAGAR (SC),BSP,0,Post Graduate,6765938,500000
2719,Praveen Kumar Pandey,ROHANIYA,Rashtriya Samaj Paksha,0,10th Pass,10000,0
2720,Praveen Kumar Rao,MANKAPUR (SC),Jan Adhikar Party,0,Graduate,221729,0
2721,Praveen Kumar Singh,PHULPUR,BJP,0,Post Graduate,82689156,184299
2722,Praveen Kumar Srivastava,ALLAHABAD NORTH,IND,0,Graduate,250000,0
2723,Pravesh Kumar,SAHARANPUR,IND,0,8th Pass,392200,0
2724,Pravin Kumar Shukla,MALHANI,SUCI(C),0,Graduate,1532000,0
2725,Preeti,MEERUT,IND,0,8th Pass,135000,30000
2726,Preeti Mishra,KASGANJ,IND,0,Graduate,950000,0
2727,Prem Chand,SANDI (SC),IND,0,Post Graduate,7317014,0
2728,Prem Chand,SAHIBABAD,Swatantra Jantaraj Party,0,10th Pass,370200,0
2729,Prem Chand,BALDEV (SC),BSP,0,10th Pass,13580000,0
2730,Prem Chandra Ojha Alias Subhash,SADABAD,IND,0,12th Pass,3164262,0
2731,Prem Chandra,SADAR,Bahujan Mukti Party,0,Literate,63000,0
2732,Prem Kumar,MILKIPUR (SC),IND,0,Post Graduate,512000,0
2733,Prem Narayan Dwivedi,JAHANABAD,Akhil Bhartiya Swarajya Dal,0,Graduate,250500,0
2734,Prem Narayan Pandey,TARABGANJ,BJP,1,12th Pass,5904554,1047657
2735,Prem Pal,ALIGARH,RPI(A),0,Graduate,135500,0
2736,Prem Pal Singh,DATAGANJ,INC,0,12th Pass,25769211,1080704
2737,Prem Prakash,KAPTANGANJ,Most Backward Classes Of India,0,10th Pass,8114000,0
2738,Prem Prakash,JALALPUR,Jan Adhikar Manch,0,Post Graduate,1350183,50000
2739,Prem Prakash Agarwal,BAREILLY,INC,0,Post Graduate,133502407,10898971
2740,Prem Prakash Tripathi,KHALILABAD,IND,0,Graduate,526000,0
2741,Prem Sagar,COLONELGANJ,IND,0,Literate,1260000,0
2742,Prem Sagar Patel,SISWA,BJP,0,Graduate,13370173,850000
2743,Prem Shri Yadav,ATRAULI,Rashtriya Parivartan Dal,0,10th Pass,3370000,0
2744,Prem Singh,NEHTAUR (SC),IND,0,Post Graduate,825000,0
2745,Prem Singh,IGLAS (SC),IND,0,10th Pass,6684000,0
2746,Prem Singh,NOIDA,Rashtriya Janhit Sangharsh Party,0,Graduate,53077000,0
2747,Prem Swaroop,BARKHERA,Manav Kranti Party,0,12th Pass,108000,0
2748,Premanand Tripathi,VISHWANATH GANJ,BSP,0,Post Graduate,225178100,1842000
2749,Premchand,ETMADPUR,IND,2,Literate,1200000,0
2750,Premchand Bind,GYANPUR,Pragatisheel Manav Samaj Party,1,Graduate Professional,565120,0
2751,Premchandra,CHARKHARI,IND,0,12th Pass,525672,10000
2752,Prempal Singh,SIKANDRA RAO,IND,0,Literate,2620000,55000
2753,Prince Kumar Singh,SAHAJANWA,IND,1,Graduate Professional,4742000,0
2754,Pritam Lal,MEHRONI (SC),IND,4,8th Pass,1771861,0
2755,Pritee Chaudhary,SADABAD,BJP,0,Post Graduate,2822760,0
2756,Priti Kashyap,SHEKHUPUR,Rashtriya Mazdoor Ekta Part,0,5th Pass,223000,53000
2757,Priya Agrawal,VARANASI SOUTH,Manavadhikar Janshakti Party,0,10th Pass,1663335,0
2758,Priyanka Chauhan,AZAMGARH,Bahujan Mukti Party,0,Graduate Professional,720000,0
2759,Priyanka Khandelwal,BAREILLY CANTT.,Jan Shakti Ekta Party,0,Graduate,325572968,0
2760,Priyavan Gangwar,BAHERI,RLD,0,Graduate,5380364,1336563
2761,Pt. Radha Krishan Sharma,BILSI,BJP,0,Graduate,34103148,0
2762,Pujaa Shukla,LAKHIMPUR,Bhartiya Jan Sahyog Party,0,Graduate,366800,0
2763,Puneet Kumar,BITHOOR,Bhartiya Shakti Chetna Party,0,Graduate Professional,268263,120000
2764,Puneet Kumar,AMRITPUR,IND,0,12th Pass,331356,0
2765,Purnendu Tiwari,BARHAJ,SP,1,Post Graduate,4811067,0
2766,Purnwasi,RAMKOLA(SC),SP,1,10th Pass,9625305,2312702
2767,Purushottan,GOVERDHAN,CPI,0,5th Pass,1090000,0
2768,Pushpa,BITHOOR,Jay Hind Jay Bharat Party,0,12th Pass,30610000,0
2769,Pushpa Devi,BANSGAON (SC),Bahujan Mukti Party,0,Graduate,8944000,2800000
2770,Pushpa Rawat Bheem,MOHANLALGANJ (SC),Manavtawadi Kranti Dal,0,12th Pass,6078000,0
2771,Pushpa Shahi,RAM NAGAR,RLD,1,Post Graduate,2555000,0
2772,Pushpant Kumar,SARENI,Rashtriya Jan Adhikar Party,0,Post Graduate,56634,0
2773,Pushpendra Kumar,BHONGAON,Bharatiya Subhash Sena,0,Graduate,97000,0
2774,Pushpendra Kumar,ALLAHABAD NORTH,IND,0,Graduate,41227,0
2775,Pushpendra Verma,DEORIA,Jan Adhikar Party,0,Post Graduate,269712,0
2776,Pushpraj,PRATAPPUR,Sarv Sambhaav Party,1,Graduate,3295000,90000
2777,Qamar Saeed,CHAIL,Bahujan Samaj Vikas Party,2,10th Pass,18185500,0
2778,R C Gond,ALAPUR (SC),Rashtriya Janadhar Party,0,Post Graduate,2090968,26000
2779,R.D. Shukla,LUCKNOW EAST,IND,0,Post Graduate,41000,0
2780,R.K. Chaudhary,MOHANLALGANJ (SC),IND,1,Graduate Professional,7210787,0
2781,R.K. Singh Patel,MANIKPUR,BJP,2,Graduate,49919479,742734
2782,Rabiullah,ARYA NAGAR,All India Majlis-E-Ittehadul Muslimeen,0,Literate,1655950,0
2783,Rabiya Akhtar,BAREILLY CANTT.,Peace Party,1,Literate,7956000,500000
2784,Rachana,MOHAMMDI,IND,0,Post Graduate,11064159,0
2785,Radha,CHHARRA,Samtawadi Republican Party,0,8th Pass,640000,0
2786,Radha Krishn,BALLIA NAGAR,IND,0,12th Pass,310000,0
2787,Radha Saini,BARHAPUR,RLD,0,Post Graduate,6639094,500000
2788,Radhakrishna,BIDHUNA,IND,0,10th Pass,7587500,0
2789,Radharaman,SHOHRATGARH,Peace Party,0,Graduate,5859863,125000
2790,Radhe Lal Rawat S/O Munnu,MOHAN (SC),BSP,1,Post Graduate,19025101,0
2791,Radheshyam,KAPTANGANJ,IND,0,Graduate,10290,0
2792,Radheshyam,UNCHAHAR,RLD,0,12th Pass,987008,0
2793,Radheshyam,CHAKIA (SC),Lok Ekta Party,0,8th Pass,155000,0
2794,Radheshyam,SAGRI,Hamari Apni Party,0,Graduate Professional,11055000,3400000
2795,Radheshyam,CHILLUPAR,Jan Adhikar Party,0,Literate,311000,0
2796,Radheshyam Insan,AURAI (SC),Bhartiya Republican Party (Insan),0,8th Pass,1451000,0
2797,Radheshyam Kushwah,FATEHABAD,Sanyukt Samajwadi Dal,0,8th Pass,23000,0
2798,Radheshyam Sehra,PIPRAICH,IND,0,12th Pass,852472,0
2799,Radheshyam Singh,HATA,SP,8,Post Graduate,41833600,7278520
2800,Radhey Lal,MOHAN (SC),Jan Adhikar Manch,0,8th Pass,521000,0
2801,Radhey Shyam,MILAK (SC),BSP,0,Post Graduate,51097642,9778250
2802,Radhey Shyam,MORADABAD NAGAR,Rashtriya Congress(J) Party,0,8th Pass,360000,0
2803,Radhey Shyam,JAGDISHPUR (SC),INC,0,12th Pass,4421380,218811
2804,Radhey Shyam Jaiswal,SITAPUR,SP,6,8th Pass,30574181,717188
2805,Radhey Shyam Srivastava,AYODHYA,IND,0,Graduate,2207000,0
2806,Radheyshyam,NIGHASAN,Nirbal Indian Shoshit Hamara Aam Dal,0,Illiterate,8320000,0
2807,Radhika,KUSHINAGAR,IND,0,Not Given,7040481,0
2808,Rafatulla,SAMBHAL,BSP,0,Literate,24525883,0
2809,Rafeeq Ahmad,BIJNOR,IND,0,Literate,2622700,0
2810,Rafiq Ansari,MEERUT,SP,0,8th Pass,7261596,0
2811,Rafiullh Khan,KANTH,IND,0,Graduate,32500000,300000
2812,Raghubeer,MADHUBAN,NCP,0,Graduate,315554,0
2813,Raghunandan Singh Bhadoria,KANPUR CANTT.,BJP,0,Post Graduate,48369721,2474195
2814,Raghunath,PHAPHAMAU,Bahujan Awam Party,0,Graduate Professional,3715000,0
