no,candidate,constituency,party,cases,education,total_assets,liabilities
180,Amar Singh Yadav,SIKANDRA RAO,IND,1,Graduate Professional,208681087,2677134
181,Amardeep Singh,BARABANKI,IND,1,Graduate,622249,0
182,Amarjeet Singh,SEVATA,Rashtriya Vikalp Party,0,Post Graduate,41000,0
183,Amarjeet Singh,BADAUN,Bhartiya Bhaichara Party,0,12th Pass,600000,0
184,Amarjeet Singh Jansewak,BINDKI,Lok Dal,0,Post Graduate,177104567,311000
185,Amarjit Kumar Singh,BANSDIH,IND,0,Not Given,152387,0
186,Amarnath,BHATPAR RANI,CPI(ML)(L),0,12th Pass,444312,0
187,Amarpal,SAHIBABAD,INC,0,12th Pass,242448764,127000
188,Ambedkari Hasanu Ram Ambedkari,AGRA RURAL (SC),IND,1,Literate,1000,85000
189,Ambedkari Hasanuram Ambedkari,KHERAGARH,IND,1,Literate,1000,100632
190,Ambika,PHEPHANA,BSP,0,Graduate Professional,141134466,12320725
191,Ambika Dutt Verma,MEHNAUN,RLD,0,8th Pass,5533163,2000000
192,Ambikesh,GHORAWAL,IND,0,8th Pass,1434000,0
193,Ambrish,KUSHINAGAR,IND,0,10th Pass,357443,0
194,Ambrish Singh Pushkar,MOHANLALGANJ (SC),SP,0,Graduate Professional,66085956,1300000
195,Ambuj Shikla,GOVINDNAGAR,INC,1,Post Graduate,8368000,1550000
196,Ameeta Singh,AMETHI,INC,0,Doctorate,367731633,3207818
197,Amir Hbib,ALLAHABAD SOUTH,CPI,0,12th Pass,39500,0
198,Amirchand Patel,ROHANIYA,IND,13,12th Pass,144054341,1600000
199,Amirullah,SHOHRATGARH,IND,0,8th Pass,2177522,600000
200,Amit,SAHAJANWA,NCP,0,Graduate,614800,99440
201,Amit,BANDA,SHS,0,Graduate,2383219,0
202,Amit,ALLAHABAD NORTH,BSP,0,Graduate,54746500,15468943
203,Amit Dubey,CHAURI-CHAURA,IND,0,Others,945000,0
204,Amit Garg,FIROZABAD,IND,0,Graduate Professional,80000,0
205,Amit Gaurav,MARHARA,SP,0,12th Pass,18847992,0
206,Amit Khandelwal,BAREILLY,Jan Shakti Ekta Party,0,Post Graduate,325572968,0
207,Amit Kumar,COLONELGANJ,IND,0,8th Pass,188558,0
