Constituency,Candidate,Party,Votes
Uttar Pradesh - Hathras,RAJESH RAJ JEEVAN,Indian National Congress,27301
Uttar Pradesh - Hathras,NEKSE LAL,Mahan Dal,5349
Uttar Pradesh - Hathras,GENDA LAL CHAUDHARY,Rashtriya Lok Dal,3616
Uttar Pradesh - Hathras,RAJARAM,Apni Zindgi Apna Dal,1039
Uttar Pradesh - Hathras,HAR SWROOP MAHAUR,Independent,712
Uttar Pradesh - Hathras,CHATAULE MUNSHIRAM NEKRAM,Independent,511
Uttar Pradesh - Hathras,VIJENDRA SINGH,Independent,501
Uttar Pradesh - Hathras,VIJAY,Swatantra Jantaraj Party,361
Uttar Pradesh - Hathras,PINTU,Rashtravadi Pratap Sena,322
Uttar Pradesh - Hathras,NETRAPAL SINGH,Samajwadi Janata Party (ChandraShekhar),310
Uttar Pradesh - Hathras,SAHAB SINGH,Adarsh Samaj Party,257
Uttar Pradesh - Hathras,None of the Above,None of the Above,1256
Uttar Pradesh - Sadabad,RAMVEER UPADHYAY,Bahujan Samaj Party,91385
Uttar Pradesh - Sadabad,DR ANIL CHAUDHARY,Rashtriya Lok Dal,64775
Uttar Pradesh - Sadabad,PRITEE CHAUDHARY,Bharatiya Janata Party,36134
Uttar Pradesh - Sadabad,DEVENDRA AGRAWAL,Samajwadi Party,28980
Uttar Pradesh - Sadabad,KUSUMLATA SHARMA,Apni Zindgi Apna Dal,937
Uttar Pradesh - Sadabad,YATENDRA SINGH,Independent,934
Uttar Pradesh - Sadabad,SUBHASH CHANDRA,Independent,575
Uttar Pradesh - Sadabad,RAMESHAR,Independent,488
Uttar Pradesh - Sadabad,PREM CHANDRA OJHA ALIAS SUBHASH,Independent,476
Uttar Pradesh - Sadabad,KUSUMA,Independent,238
Uttar Pradesh - Sadabad,KRISHNA KUMAR SHARMA,Independent,158
Uttar Pradesh - Sadabad,KAILASH SINGH,Independent,153
Uttar Pradesh - Sadabad,NEETU SHARMA,Saman Adhikar Party,137
Uttar Pradesh - Sadabad,ANIL KUMAR,Independent,110
Uttar Pradesh - Sadabad,None of the Above,None of the Above,1103
Uttar Pradesh - Sikandra Rao,BIRENDRA SINGH RANA,Bharatiya Janata Party,76129
Uttar Pradesh - Sikandra Rao,BANI SINGH BAGHEL,Bahujan Samaj Party,61357
Uttar Pradesh - Sikandra Rao,YASHPAL SINGH CHAUHAN,Samajwadi Party,59740
Uttar Pradesh - Sikandra Rao,RAKESH SINGH RANA,Independent,7222
Uttar Pradesh - Sikandra Rao,AMAR SINGH YADAV,Independent,4876
Uttar Pradesh - Sikandra Rao,KRAPAL SINGH SENGAR,Jan Adhikar Party,1094
Uttar Pradesh - Sikandra Rao,SHRI CHANDRA,Independent,1086
Uttar Pradesh - Sikandra Rao,RAKESH S/O KUMARPAL,Independent,710
Uttar Pradesh - Sikandra Rao,RAJ SHEKHAR SENGAR,Independent,704
Uttar Pradesh - Sikandra Rao,CHANDRESH KUMAR,Rashtravadi Pratap Sena,521
Uttar Pradesh - Sikandra Rao,DHARAMVEER,Independent,355
Uttar Pradesh - Sikandra Rao,RAKESH S/O SHYAMLAL,Independent,320
Uttar Pradesh - Sikandra Rao,CHANDA GUPTA,All India Forward Bloc,314
Uttar Pradesh - Sikandra Rao,MANOJ,Independent,262
Uttar Pradesh - Sikandra Rao,PREMPAL SINGH,Independent,128
Uttar Pradesh - Sikandra Rao,None of the Above,None of the Above,1426
Uttar Pradesh - Chhata,LAXMI NARAYAN,Bharatiya Janata Party,117537
Uttar Pradesh - Chhata,ATUL SINGH,Independent,53699
Uttar Pradesh - Chhata,MANOJ PATHAK,Bahujan Samaj Party,41290
Uttar Pradesh - Chhata,RISHI RAJ,Rashtriya Lok Dal,9801
Uttar Pradesh - Chhata,DEEPAK PANDEY,Independent,1471
Uttar Pradesh - Chhata,KULBHANU KUMAR,Communist Party of India,1171
Uttar Pradesh - Chhata,MAHESH SINGH KUNTAL,Independent,634
Uttar Pradesh - Chhata,RAJU,Independent,495
Uttar Pradesh - Chhata,None of the Above,None of the Above,1224
Uttar Pradesh - Mant,SHYAM SUNDER SHARMA,Bahujan Samaj Party,65862
Uttar Pradesh - Mant,YOGESH CHAUDHARY,Rashtriya Lok Dal,65430
Uttar Pradesh - Mant,SATISH KUMAR SHARMA,Bharatiya Janata Party,59871
Uttar Pradesh - Mant,JAGDISH SINGH,Indian National Congress,13270
Uttar Pradesh - Mant,LALIT KUMAR,Independent,2203
Uttar Pradesh - Mant,VISHNU KUMAR SHARMA,Independent,715
Uttar Pradesh - Mant,SUBHASH CHAUDHARY,Independent,628
Uttar Pradesh - Mant,CHANDAN SINGH DHANGAR,Rashtriya Shoshit Samaj Party,590
Uttar Pradesh - Mant,RAM SWAROOP,Independent,245
Uttar Pradesh - Mant,MUKESH KUMAR,Bharat Kalyan Party,232
Uttar Pradesh - Mant,YOGESH KUMAR,Independent,152
Uttar Pradesh - Mant,DARMENDRA KUMAR,Independent,146
Uttar Pradesh - Mant,None of the Above,None of the Above,1253
Uttar Pradesh - Goverdhan,KARINDA SINGH,Bharatiya Janata Party,93538
Uttar Pradesh - Goverdhan,RAJ KUMAR RAWAT,Bahujan Samaj Party,60529
Uttar Pradesh - Goverdhan,KR. NARENDRA SINGH,Rashtriya Lok Dal,40999
Uttar Pradesh - Goverdhan,RANVIR PANDAV,Indian National Congress,5943
Uttar Pradesh - Goverdhan,PURUSHOTTAN,Communist Party of India,944
Uttar Pradesh - Goverdhan,NARENDRA KUMAR,Independent,785
Uttar Pradesh - Goverdhan,SATISH KUMAR,Independent,679
Uttar Pradesh - Goverdhan,AVADHESH SHARMA,Bharat Kalyan Party,627
Uttar Pradesh - Goverdhan,RAKESH KUMAR KAUSHIK,Lok Dal,617
Uttar Pradesh - Goverdhan,SANTOSH,Bharatiya Subhash Sena,567
Uttar Pradesh - Goverdhan,POORAN,Independent,266
Uttar Pradesh - Goverdhan,BRAJ KISHOR,Al-Hind Party,180
Uttar Pradesh - Goverdhan,None of the Above,None of the Above,1398
Uttar Pradesh - Mathura,SHRIKANT SHARMA,Bharatiya Janata Party,143361
Uttar Pradesh - Mathura,PRADEEP MATHUR,Indian National Congress,42200
Uttar Pradesh - Mathura,YOGESH KUMAR,Bahujan Samaj Party,31168
Uttar Pradesh - Mathura,ASHOK AGRAWAL,Rashtriya Lok Dal,29080
Uttar Pradesh - Mathura,GIREEJA SINGH @ GIRRAJ SINGH,Swatantra Jantaraj Party,1436
Uttar Pradesh - Mathura,GAFFAR ABBAS,Communist Party of India,1263
Uttar Pradesh - Mathura,ANUP AGRAWAL,Bharat Kalyan Party,715
Uttar Pradesh - Mathura,MUKESH,Independent,710
Uttar Pradesh - Mathura,SURESH CHANDRA BAGHEL,Independent,662
Uttar Pradesh - Mathura,PHAKKAD BABA,Independent,371
Uttar Pradesh - Mathura,PRAMOD KRISHNA,Independent,356
Uttar Pradesh - Mathura,ANKIT CHATURVEDI,Rashtriya Samajwadi Party  (Secular),263
Uttar Pradesh - Mathura,AVINESH KUMAR SINGH,Rashtriya Lokraj Party,251
Uttar Pradesh - Mathura,None of the Above,None of the Above,1235
Uttar Pradesh - Baldev,POORAN PRAKASH,Bharatiya Janata Party,88411
Uttar Pradesh - Baldev,NIRANJAN SINGH DHANGAR,Rashtriya Lok Dal,75203
Uttar Pradesh - Baldev,PREMCHAND,Bahujan Samaj Party,53539
Uttar Pradesh - Baldev,RANVIR,Samajwadi Party,8893
Uttar Pradesh - Baldev,VINESH KUMAR,Indian National Congress,840
Uttar Pradesh - Baldev,BHUP SINGH,Independent,706
Uttar Pradesh - Baldev,NIRANJAN SINGH,Independent,692
Uttar Pradesh - Baldev,BHAWARPAL SINGH,Independent,589
Uttar Pradesh - Baldev,BRIJENDRA KUMAR POEIA,Independent,588
Uttar Pradesh - Baldev,CHANDRABHAN,Rashtriya Shoshit Samaj Party,413
Uttar Pradesh - Baldev,CHANDRAPAL,Independent,295
Uttar Pradesh - Baldev,None of the Above,None of the Above,1601
Uttar Pradesh - Etmadpur,RAM PRATAP SINGH,Bharatiya Janata Party,137381
Uttar Pradesh - Etmadpur,DR. DHARMPAL SINGH,Bahujan Samaj Party,90126
Uttar Pradesh - Etmadpur,RAJBETI,Samajwadi Party,43925
Uttar Pradesh - Etmadpur,NARENDRA BAGHEL,Rashtriya Lok Dal,3496
Uttar Pradesh - Etmadpur,RAJESH KUMAR KASHYAP,Nirbal Indian Shoshit Hamara Aam Dal,2213
Uttar Pradesh - Etmadpur,ATAL BIHARI,Rashtriya Krantikari Samajwadi Party,1204
Uttar Pradesh - Etmadpur,NAVEEN KUMAR,Independent,945
Uttar Pradesh - Etmadpur,UMESH CHANDRA,Independent,607
Uttar Pradesh - Etmadpur,PREMCHAND,Independent,541
Uttar Pradesh - Etmadpur,LAKHAN KUMAR JATAV,Independent,430
Uttar Pradesh - Etmadpur,SUNIL PANKAJ,Jan Adhikar Manch,389
Uttar Pradesh - Etmadpur,MAHENDRA SINGH,Bhartiya Sarvodaya Party,381
Uttar Pradesh - Etmadpur,VIJAY SINGH BAGHEL,Rashtriya Shoshit Samaj Party,290
Uttar Pradesh - Etmadpur,MALKHAN SINGH JATAV,Republican Party of India Ektavadi,202
Uttar Pradesh - Etmadpur,GAURAV,Rashtriya Lok Samta Party,200
Uttar Pradesh - Etmadpur,None of the Above,None of the Above,1872
Uttar Pradesh - Agra Cantt.,DR. GIRRAJ SINGH DHARMESH,Bharatiya Janata Party,113178
Uttar Pradesh - Agra Cantt.,GUTIYARI LAL DUWESH,Bahujan Samaj Party,66853
Uttar Pradesh - Agra Cantt.,MAMTA KAUDAN,Samajwadi Party,64683
Uttar Pradesh - Agra Cantt.,SUBHASH CHAND,Independent,1236
Uttar Pradesh - Agra Cantt.,AVDESH SINGH ( RAMU SUMAN),Rashtriya Lok Dal,1145
Uttar Pradesh - Agra Cantt.,HARI KISHAN,Independent,935
Uttar Pradesh - Agra Cantt.,RAKESH KUMAR,Peace Party,868
Uttar Pradesh - Agra Cantt.,UMESH CHAND,Ambedkarite Party of India,763
Uttar Pradesh - Agra Cantt.,VISHAL KUMAR,Independent,719
Uttar Pradesh - Agra Cantt.,RAJVEER SINGH,Independent,440
Uttar Pradesh - Agra Cantt.,RAJKUMAR SINGH,Jan Adhikar Manch,267
Uttar Pradesh - Agra Cantt.,OMPRAKASH,Bhartiya Sarvodaya Party,222
Uttar Pradesh - Agra Cantt.,PRADEEP VERMA,Independent,198
Uttar Pradesh - Agra Cantt.,BABITA SINGH MAURYA,Rashtriya Samanta Dal,124
Uttar Pradesh - Agra Cantt.,None of the Above,None of the Above,1185
Uttar Pradesh - Agra South,Candidate,Party,NA
Uttar Pradesh - Agra South,YOGENDRA UPADHYAYA,Bharatiya Janata Party,111882
Uttar Pradesh - Agra South,ZULFIQAR AHMAD BHUTTO,Bahujan Samaj Party,57657
Uttar Pradesh - Agra South,NAZIR AHMED,Indian National Congress,39434
Uttar Pradesh - Agra South,THOMSAN MASSEY,Independent,979
Uttar Pradesh - Agra South,PRADEEP KUMAR SRIVASTAVA,Independent,800
Uttar Pradesh - Agra South,ANJALI BHARGAVA,Mahila Sashaktikaran Party,559
Uttar Pradesh - Agra South,MAHIPAL SINGH,Independent,522
Uttar Pradesh - Agra South,ALOK KUMAR,Independent,470
Uttar Pradesh - Agra South,CH. GOPAL SINGH DHAKED,Independent,464
Uttar Pradesh - Agra South,HARISH CHANDRA,Independent,428
Uttar Pradesh - Agra South,MUSTAKEEM,Independent,420
Uttar Pradesh - Agra South,LOKENDRA SHARMA,Independent,349
Uttar Pradesh - Agra South,RAMBRIJ YADAV,Independent,254
Uttar Pradesh - Agra South,NASIR ABBAS,Bharatiya Karyasth Sena,244
Uttar Pradesh - Agra South,KRISHAN GOPAL UPADHYAY,Peace Party,239
Uttar Pradesh - Agra South,IDARISH,All India Majlis-E-Ittehadul Muslimeen,232
Uttar Pradesh - Agra South,SAROJ KUMARI,Independent,196
Uttar Pradesh - Agra South,RENU SETHI,Independent,194
Uttar Pradesh - Agra South,ROHIT SINGH DHAKAD,Rashtriya Lok Samta Party,177
Uttar Pradesh - Agra South,SANJAY GARG,Independent,161
Uttar Pradesh - Agra South,PADMA AGRAWAL,Brij Kranti Dal,154
Uttar Pradesh - Agra South,SHYAM SUNDAR,Bahujan Mukti Party,149
Uttar Pradesh - Agra South,ASHRAF QURESHI,Independent,145
Uttar Pradesh - Agra South,ATUL KUMAR,Jan Adhikar Manch,133
Uttar Pradesh - Agra South,LAKSHMAN PRASAD RAJORA,Independent,117
Uttar Pradesh - Agra South,DEREK SMITH,Adarsh Samaj Party,113
Uttar Pradesh - Agra South,None of the Above,None of the Above,753
Uttar Pradesh - Agra North,JAGAN PRASAD GARG,Bharatiya Janata Party,135120
Uttar Pradesh - Agra North,ER. GYANENDRA GAUTAM,Bahujan Samaj Party,48800
Uttar Pradesh - Agra North,ATUL GARG,Samajwadi Party,36739
Uttar Pradesh - Agra North,KUNDANIKA SHARMA,Independent,3275
Uttar Pradesh - Agra North,COL. UMESH VERMA,Rashtriya Lok Dal,1214
Uttar Pradesh - Agra North,PRATAP GUJAR,Independent,1163
Uttar Pradesh - Agra North,SATENDRA DIXIT,Independent,834
Uttar Pradesh - Agra North,VINIT AGRAWAL,Independent,555
Uttar Pradesh - Agra North,IRFAN KHAN,VANCHITSAMAJ INSAAF PARTY,410
Uttar Pradesh - Agra North,SATYA PRAKASH,Independent,270
Uttar Pradesh - Agra North,REKHA,Independent,247
Uttar Pradesh - Agra North,DEV KUMAR,Jan Adhikar Manch,238
Uttar Pradesh - Agra North,MUKESH,Rashtriya Samanta Dal,237
Uttar Pradesh - Agra North,TEJVEER SINGH,Peace Party,224
Uttar Pradesh - Agra North,VIVEK KUMAR JAIN,Bhartiya Shakti Chetna Party,177
Uttar Pradesh - Agra North,None of the Above,None of the Above,1266
Uttar Pradesh - Agra Rural,HEMLATA DIWAKAR,Bharatiya Janata Party,129887
Uttar Pradesh - Agra Rural,KALICHARAN SUMAN,Bahujan Samaj Party,64591
Uttar Pradesh - Agra Rural,UPENDRA SINGH,Indian National Congress,31312
Uttar Pradesh - Agra Rural,NARAYAN SINGH SUMAN,Rashtriya Lok Dal,17446
Uttar Pradesh - Agra Rural,OMA SHANKAR ALIAS SUNIL DIWAKAR,Jan Adhikar Manch,1378
Uttar Pradesh - Agra Rural,ASHOK KUMAR,Independent,1328
Uttar Pradesh - Agra Rural,AMBEDKARI HASANU RAM AMBEDKARI,Independent,871
Uttar Pradesh - Agra Rural,RAVINDRA SINGH,Independent,769
Uttar Pradesh - Agra Rural,BHUPAL DAS,Independent,488
Uttar Pradesh - Agra Rural,None of the Above,None of the Above,1856
Uttar Pradesh - Fatehpur Sikri,CHAU. UDAYBHAN SINGH,Bharatiya Janata Party,108586
Uttar Pradesh - Fatehpur Sikri,SURAJPAL SINGH,Bahujan Samaj Party,56249
Uttar Pradesh - Fatehpur Sikri,BRIJESH KUMAR CHAHAR,Rashtriya Lok Dal,38307
Uttar Pradesh - Fatehpur Sikri,LAL SINGH,Samajwadi Party,21884
Uttar Pradesh - Fatehpur Sikri,YOGENDRA SINGH,Independent,958
Uttar Pradesh - Fatehpur Sikri,VANDANA SHARMA,Independent,792
Uttar Pradesh - Fatehpur Sikri,RAKESH,Independent,731
Uttar Pradesh - Fatehpur Sikri,None of the Above,None of the Above,1864
Uttar Pradesh - Kheragarh,MAHESH KUMAR GOYAL,Bharatiya Janata Party,93510
Uttar Pradesh - Kheragarh,BHAGWAN SINGH KUSHWAHA,Bahujan Samaj Party,61511
Uttar Pradesh - Kheragarh,KUSUMLATA DIXIT,Indian National Congress,23088
Uttar Pradesh - Kheragarh,RAMNATH,Independent,7680
Uttar Pradesh - Kheragarh,RAMENDRA SINGH PARMAR,Rashtriya Lok Dal,6520
Uttar Pradesh - Kheragarh,VANGALI RAM KUSHWAH,Independent,1603
Uttar Pradesh - Kheragarh,RANDHIR SINGH,Independent,742
Uttar Pradesh - Kheragarh,RAJVIR SINGH,Ambedkarite Party of India,682
Uttar Pradesh - Kheragarh,ISHVA KHAN,Independent,594
Uttar Pradesh - Kheragarh,DHARMENDRA KUMAR SHARMA,Independent,370
Uttar Pradesh - Kheragarh,AMBEDKARI HASANURAM AMBEDKARI,Independent,336
Uttar Pradesh - Kheragarh,JAL DEVI,Independent,331
Uttar Pradesh - Kheragarh,VIR BAHADUR ALIAS VIR BAHADUR DHAKRAY,Lok Dal,328
Uttar Pradesh - Kheragarh,BHIMSAIN KUSHAWAHA,Independent,263
Uttar Pradesh - Kheragarh,None of the Above,None of the Above,1223
Uttar Pradesh - Fatehabad,JITENDRA VERMA,Bharatiya Janata Party,101960
Uttar Pradesh - Fatehabad,RAJENDRA SINGH,Samajwadi Party,67596
Uttar Pradesh - Fatehabad,UMESH SHARMA SAITHIYA,Bahujan Samaj Party,35050
Uttar Pradesh - Fatehabad,SHOKHEERAM,Nirbal Indian Shoshit Hamara Aam Dal,1358
Uttar Pradesh - Fatehabad,RAJENDRA SINGH,Independent,905
Uttar Pradesh - Fatehabad,RAMESH CHANDRA,Bharatiya Subhash Sena,776
Uttar Pradesh - Fatehabad,RADHESHYAM KUSHWAH,Sanyukt Samajwadi Dal,678
Uttar Pradesh - Fatehabad,None of the Above,None of the Above,1470
Uttar Pradesh - Bah,RANI PAKSHALIKA SINGH,Bharatiya Janata Party,80567
Uttar Pradesh - Bah,MADHUSUDAN SHARMA,Bahujan Samaj Party,57427
Uttar Pradesh - Bah,HANSKALI ALIAS ANSHU RANI NISHAD,Samajwadi Party,46885
Uttar Pradesh - Bah,SUDHIR DUBEY,Rashtriya Lok Dal,1665
Uttar Pradesh - Bah,RAMENDRA SINGH,Independent,1225
Uttar Pradesh - Bah,RAMBARAN,Independent,630
Uttar Pradesh - Bah,BRIJENDRA SINGH,Independent,513
Uttar Pradesh - Bah,MADHURI SINGH,Rashtriya Lok Samta Party,447
Uttar Pradesh - Bah,RAMAKANT SAVITA,Independent,415
Uttar Pradesh - Bah,PRADEEP GARG,Independent,182
Uttar Pradesh - Bah,SUNIL KUMAR,Nirbal Indian Shoshit Hamara Aam Dal,177
Uttar Pradesh - Bah,BASUDEV SHARMA,Bharatiya Subhash Sena,154
Uttar Pradesh - Bah,SOBARAN SINGH,United National Party,146
Uttar Pradesh - Bah,KARAN SINGH,Independent,139
Uttar Pradesh - Bah,None of the Above,None of the Above,2214
Uttar Pradesh - Tundla,SATYA PAL SINGH BAGHEL,Bharatiya Janata Party,118584
Uttar Pradesh - Tundla,RAKESH BABU,Bahujan Samaj Party,62514
Uttar Pradesh - Tundla,SHIV SINGH CHAK,Samajwadi Party,54888
Uttar Pradesh - Tundla,GANGA PRASHAD PUSHKAR,Rashtriya Lok Dal,2576
Uttar Pradesh - Tundla,SALONI,Independent,871
Uttar Pradesh - Tundla,JITENDRA KUMAR,Bahujan Mukti Party,786
Uttar Pradesh - Tundla,RAHUL KUMAR,Independent,671
Uttar Pradesh - Tundla,RAMTIRATH,Independent,549
Uttar Pradesh - Tundla,RAVENDRA SINGH,Independent,351
Uttar Pradesh - Tundla,SAPANA VERMA,Adarsh Samaj Party,224
Uttar Pradesh - Tundla,MAMTESH KUMAR,Independent,196
Uttar Pradesh - Tundla,None of the Above,None of the Above,1381
Uttar Pradesh - Jasrana,RAMGOPAL PAPPU LODHI,Bharatiya Janata Party,103426
Uttar Pradesh - Jasrana,SHIVPRATAP SINGH,Samajwadi Party,83098
Uttar Pradesh - Jasrana,SHIVRAJ SINGH YADAV,Bahujan Samaj Party,26274
Uttar Pradesh - Jasrana,RAMVEER SINGH,Lok Dal,11274
Uttar Pradesh - Jasrana,RAVINDRA SINGH,Independent,1111
Uttar Pradesh - Jasrana,JAY KUMAR,Jan Adhikar Manch,1039
Uttar Pradesh - Jasrana,RAMDAS SAVITA,Independent,875
Uttar Pradesh - Jasrana,MITHLESH URF SANDHYA RAJPOOT,Independent,477
Uttar Pradesh - Jasrana,VIJENDRA SINGH,Bharatiya Subhash Sena,389
Uttar Pradesh - Jasrana,MUNENDRA SINGH,Rashtriya Sawarn Dal,321
Uttar Pradesh - Jasrana,PRAMOD KUMAR YADAV,Hind Vikas Party,200
Uttar Pradesh - Jasrana,None of the Above,None of the Above,1908
Uttar Pradesh - Firozabad,MANISH ASIJA,Bharatiya Janata Party,102654
Uttar Pradesh - Firozabad,AZIM BHAI,Samajwadi Party,60927
Uttar Pradesh - Firozabad,KHALID NASIR,Bahujan Samaj Party,51387
Uttar Pradesh - Firozabad,AHTSHAM ALI (BABAR),All India Majlis-E-Ittehadul Muslimeen,11478
Uttar Pradesh - Firozabad,AJAY KUMAR,Jan Adhikar Manch,1688
Uttar Pradesh - Firozabad,AMIT GARG,Independent,703
Uttar Pradesh - Firozabad,RAJKISHOR TIWARI,Independent,502
Uttar Pradesh - Firozabad,SHOUKIN SINGH,Bharatiya Subhash Sena,349
Uttar Pradesh - Firozabad,JAHANGIR KHAN ALVI,Peace Party,336
Uttar Pradesh - Firozabad,KAUSHAL KISHORE UPADHYAY,Rashtriya Sawarn Dal,318
Uttar Pradesh - Firozabad,MO SHAHAJAD KHAN,Indian Union Muslim League,270
Uttar Pradesh - Firozabad,RAMGOPAL,Rashtriya Lok Samta Party,237
Uttar Pradesh - Firozabad,BALVEER SINGH,Bharatiya Kisan Parivartan Party,218
Uttar Pradesh - Firozabad,NITENDAR GUPTA,Lok Dal,187
Uttar Pradesh - Firozabad,DEEPAK SHARMA,Manuvadi Party,118
Uttar Pradesh - Firozabad,None of the Above,None of the Above,906
Uttar Pradesh - Shikohabad,MUKESH VERMA,Bharatiya Janata Party,87851
Uttar Pradesh - Shikohabad,SANJAY KUMAR,Samajwadi Party,77074
Uttar Pradesh - Shikohabad,SHAILESH KUMAR,Bahujan Samaj Party,37512
Uttar Pradesh - Shikohabad,RAM PRAKASH YADAV (NEHRU JI),Independent,8074
Uttar Pradesh - Shikohabad,ASHOK KUMAR,Bharatiya Subhash Sena,608
Uttar Pradesh - Shikohabad,CHANDRA KANT,Independent,485
Uttar Pradesh - Shikohabad,BHOOPENDRA,Nirbal Indian Shoshit Hamara Aam Dal,387
Uttar Pradesh - Shikohabad,NEKPAL SINGH,Independent,377
Uttar Pradesh - Shikohabad,TURSHAN PAL,Rashtriya Lok Samta Party,249
Uttar Pradesh - Shikohabad,DEVENDRA,Jan Adhikar Manch,247
Uttar Pradesh - Shikohabad,AVNISH KUMAR,Independent,157
Uttar Pradesh - Shikohabad,None of the Above,None of the Above,1700
Uttar Pradesh - Sirsaganj,HARIOM YADAV,Samajwadi Party,90281
Uttar Pradesh - Sirsaganj,JAIVEER SINGH,Bharatiya Janata Party,79605
Uttar Pradesh - Sirsaganj,RAGHVENDRA SINGH,Bahujan Samaj Party,20920
Uttar Pradesh - Sirsaganj,PANKAJ MISHRA,Jan Adhikar Manch,6176
Uttar Pradesh - Sirsaganj,ASHOK YADAV,Independent,2184
Uttar Pradesh - Sirsaganj,DURBEEN SINGH,Bhartiya Shakti Chetna Party,785
Uttar Pradesh - Sirsaganj,BRAJESH KUMAR,Independent,549
Uttar Pradesh - Sirsaganj,SANTOSH KUMAR,Independent,529
Uttar Pradesh - Sirsaganj,SANTOSH KUMAR,Bharatiya Subhash Sena,299
Uttar Pradesh - Sirsaganj,ATISH KUMAR,Independent,195
Uttar Pradesh - Sirsaganj,None of the Above,None of the Above,1552
Uttar Pradesh - Kasganj,DEVENDRA SINGH RAJPUT,Bharatiya Janata Party,101908
Uttar Pradesh - Kasganj,HASRAT ULLAH SHERVANI,Samajwadi Party,49878
Uttar Pradesh - Kasganj,AJAY CHATURVEDI,Bahujan Samaj Party,37818
Uttar Pradesh - Kasganj,SUDHIR ALIAS PAPPU YADAV,Mahan Dal,22250
Uttar Pradesh - Kasganj,KULDEEP KUMAR,Rashtravadi Pratap Sena,2803
Uttar Pradesh - Kasganj,PREETI MISHRA,Independent,967
Uttar Pradesh - Kasganj,ANIL KUMAR,Independent,746
Uttar Pradesh - Kasganj,ARCHANA DEVI,Independent,685
Uttar Pradesh - Kasganj,PADAM SINGH,Independent,562
Uttar Pradesh - Kasganj,NARENDRA KUMAR,Independent,480
Uttar Pradesh - Kasganj,None of the Above,None of the Above,2023
Uttar Pradesh - Amanpur,DEVENDRA PRATAP,Bharatiya Janata Party,85199
Uttar Pradesh - Amanpur,VIRENDRA SINGH SOLANKI,Samajwadi Party,43395
Uttar Pradesh - Amanpur,DEV PRAKASH,Bahujan Samaj Party,33166
Uttar Pradesh - Amanpur,RAHUL PANDAY,Mahan Dal,16967
Uttar Pradesh - Amanpur,SALIKRAM,Communist Party of India  (Marxist),885
Uttar Pradesh - Amanpur,DHIRENDRA SINGH,Jan Adhikar Party,767
Uttar Pradesh - Amanpur,MUNNALAL,Independent,763
Uttar Pradesh - Amanpur,ARUN,Independent,546
Uttar Pradesh - Amanpur,DUSHYANT KUMAR,Shivsena,529
Uttar Pradesh - Amanpur,CHANDRASHEKHAR MISHRA,Manav Hit Party,319
Uttar Pradesh - Amanpur,None of the Above,None of the Above,1242
Uttar Pradesh - Patiyali,MAMTESH,Bharatiya Janata Party,72414
Uttar Pradesh - Patiyali,KIRAN YADAV,Samajwadi Party,68643
Uttar Pradesh - Patiyali,"DHEERENDRA BAHADUR SINGH CHAUHAN ""DHEERU""",Bahujan Samaj Party,44131
Uttar Pradesh - Patiyali,SHYAMSUNDAR,Mahan Dal,10586
Uttar Pradesh - Patiyali,SHRIKUMAR,Independent,1020
Uttar Pradesh - Patiyali,ASHOK KUMAR MISHRA,Independent,975
Uttar Pradesh - Patiyali,POORAN SINGH,Manav Hit Party,921
Uttar Pradesh - Patiyali,VINAY MISHRA,Bhartiya Shakti Chetna Party,799
Uttar Pradesh - Patiyali,VIPIN KUMAR,Independent,743
Uttar Pradesh - Patiyali,RAHUL,Independent,389
Uttar Pradesh - Patiyali,MOHAR SINGH,Uttar Pradesh Republican Party,324
Uttar Pradesh - Patiyali,DAVENDRA SINGH,Independent,322
Uttar Pradesh - Patiyali,None of the Above,None of the Above,1556
Uttar Pradesh - Aliganj,SATYAPAL SINGH RATHAUR,Bharatiya Janata Party,88695
Uttar Pradesh - Aliganj,RAMESHWAR SINGH YADAV,Samajwadi Party,74844
Uttar Pradesh - Aliganj,AWADHPAL SINGH YADAV,Bahujan Samaj Party,46275
Uttar Pradesh - Aliganj,HARVESH,Independent,1305
Uttar Pradesh - Aliganj,RAM KISHORE,Mahan Dal,1070
Uttar Pradesh - Aliganj,SUKHVIR,Independent,998
Uttar Pradesh - Aliganj,MUKESH,Independent,604
Uttar Pradesh - Aliganj,RAM BRIJESH,Independent,305
Uttar Pradesh - Aliganj,PHOOL SINGH,Independent,265
Uttar Pradesh - Aliganj,OMPAL SINGH YADAV,Independent,186
Uttar Pradesh - Aliganj,RAGHVEDRA SINGH,Independent,169
Uttar Pradesh - Aliganj,DILIP KUMAR,Independent,124
Uttar Pradesh - Aliganj,GURUDEV SINGH,Independent,100
Uttar Pradesh - Aliganj,KAMLESH MISHRA,Independent,82
Uttar Pradesh - Aliganj,None of the Above,None of the Above,1572
Uttar Pradesh - Etah,VIPIN KUMAR DAVID,Bharatiya Janata Party,82516
Uttar Pradesh - Etah,JUGENDRA SINGH YADAV,Samajwadi Party,61387
Uttar Pradesh - Etah,GAJENDRA SINGH CHAUHAN URF BABLOO,Bahujan Samaj Party,41937
Uttar Pradesh - Etah,ASHISH KUMAR YADAV,Lok Dal,11032
Uttar Pradesh - Etah,RAJARAM,Communist Party of India  (Marxist),920
Uttar Pradesh - Etah,SUNEET CHAUHAN,Independent,679
Uttar Pradesh - Etah,SUKHVENDRA SINGH,Independent,463
