Constituency,Candidate,Party,Votes
Goa - Saligao,DATTATRAYA VITTAL PADGAONKAR,Aam Aadmi Party,1330
Goa - Saligao,RAJESH DABHOLKAR,Shivsena,428
Goa - Saligao,GAJANAN RAMA NAIK,Communist Party of India,150
Goa - Saligao,None of the Above,None of the Above,171
Goa - Calangute,MICHAEL VINCENT LOBO,Bharatiya Janata Party,11136
Goa - Calangute,JOSEPH ROBERT SEQUEIRA,Indian National Congress,7311
Goa - Calangute,GODWIN FERNANDES,Aam Aadmi Party,1465
Goa - Calangute,None of the Above,None of the Above,172
Goa - Porvorim,ROHAN KHAUNTE,Independent,11174
Goa - Porvorim,GURUPRASAD R. PAWASKAR,Bharatiya Janata Party,6961
Goa - Porvorim,RAJESH VALVAIKAR,Aam Aadmi Party,846
Goa - Porvorim,RAJESH VISHNU SINAI AMONKAR ALIAS RAJESH AMONKAR,Maharashtrawadi Gomantak,222
Goa - Porvorim,WILBUR FREDRICK TICLO,Independent,144
Goa - Porvorim,RAJU D'SOUZA,Samajwadi Janata Party (ChandraShekhar),133
Goa - Porvorim,None of the Above,None of the Above,176
Goa - Aldona,GLENN SOUZA TICLO,Bharatiya Janata Party,9405
Goa - Aldona,AMARNATH PANJIKAR,Indian National Congress,4949
Goa - Aldona,ROSY URSULA D'SOUZA,Aam Aadmi Party,3272
Goa - Aldona,MAHESH VITHU SATELKAR,Maharashtrawadi Gomantak,3000
Goa - Aldona,ANANDRAO NARAYANRAO NAGVENKAR,Independent,643
Goa - Aldona,OSBERT D'CUNHA,Nationalist Congress Party,141
Goa - Aldona,None of the Above,None of the Above,196
Goa - Panaji,SIDHARTH SRIPAD KUNCALIENKER,Bharatiya Janata Party,7924
Goa - Panaji,ATANASIO J. MONSERRATE,United Goans Party,6855
Goa - Panaji,VALMIKI NAIK,Aam Aadmi Party,1944
Goa - Panaji,KETAN KIRTIKUMAR PRABHU BHATIKAR,Goa Suraksha Manch,323
Goa - Panaji,DOMINIC SAVIO A. E. FERNANDES,Nationalist Congress Party,62
Goa - Panaji,DILIP GHADI,Independent,36
Goa - Panaji,PARSHURAM DODAMANI,Independent,20
Goa - Panaji,None of the Above,None of the Above,175
Goa - Taleigao,JENNIFER MONSERRATE,Indian National Congress,11534
Goa - Taleigao,DATTAPRASAD NAIK,Bharatiya Janata Party,8679
Goa - Taleigao,CECILLE RODRIGUES,Aam Aadmi Party,1976
Goa - Taleigao,VIJAY V. MORE,Independent,115
Goa - Taleigao,None of the Above,None of the Above,252
Goa - St. Cruz,ANTONIO CAETANO  FERNANDES,Indian National Congress,6202
Goa - St. Cruz,HEMANT DINANATH GOLATKAR,Bharatiya Janata Party,5560
Goa - St. Cruz,RODOLFO LOUIS FERNANDES,Independent,5262
Goa - St. Cruz,PRAKASH GOPI NAIK,Maharashtrawadi Gomantak,2707
Goa - St. Cruz,JOSE VINCENT GOMES,Aam Aadmi Party,1712
Goa - St. Cruz,HELENA LOURENCO,Independent,227
Goa - St. Cruz,PEDRO CAITANO PIRES ALIAS PETER PIRES,Communist Party of India,106
Goa - St. Cruz,SHAKEEL JAMAL SHAIKH,Nationalist Congress Party,75
Goa - St. Cruz,JOSE LOPES,Independent,61
Goa - St. Cruz,None of the Above,None of the Above,303
Goa - St. Andre,FRANCISCO SILVEIRA,Indian National Congress,8087
Goa - St. Andre,RAMRAO SURYA NAIK WAGH,Bharatiya Janata Party,3017
Goa - St. Andre,JAGDISH UMAKANT BHOBE,Maharashtrawadi Gomantak,2393
Goa - St. Andre,DHAKU ARJUN MADKAIKAR,Independent,1285
Goa - St. Andre,RAMA GURUDAS KANKONKAR,Aam Aadmi Party,979
Goa - St. Andre,DATTARAM NAGUESH CHARI,Nationalist Congress Party,325
Goa - St. Andre,SIMAO ALEIXO CAIADO,Independent,143
Goa - St. Andre,SUNIL SAVLO KERKAR,Independent,97
Goa - St. Andre,LEOCARDIO A. D. MONTEIRO,Goa Su-Raj Party,47
Goa - St. Andre,ASHWIN MENINO ROSARIO,Independent,29
Goa - St. Andre,None of the Above,None of the Above,152
Goa - Cumbarjua,PANDURANG MADKAIKAR,Bharatiya Janata Party,12395
Goa - Cumbarjua,XAVIER FIALHO,Indian National Congress,3961
Goa - Cumbarjua,PRAKASH DATTARAM NAIK,Aam Aadmi Party,2394
Goa - Cumbarjua,VISHAL SHAMBU VOLVOIKAR,Independent,990
Goa - Cumbarjua,PRASAD HARMALKAR,Independent,468
Goa - Cumbarjua,None of the Above,None of the Above,348
Goa - Maem,PRAVIN  ZANTYE,Bharatiya Janata Party,12430
Goa - Maem,SANTOSH KUMAR SAWANT,Indian National Congress,7456
Goa - Maem,ATMARAM VAMAN GAONKER,Goa Suraksha Manch,2317
Goa - Maem,SUBHASH NARSINHA KINALKAR,Nationalist Congress Party,528
Goa - Maem,AJEETSINGH VAMANRAO RANE,Aam Aadmi Party,525
Goa - Maem,PRABHAKAR LAXIMAN GAONKAR,Independent,174
Goa - Maem,DEEPKUMAR D MAPARI,Independent,159
Goa - Maem,ASHOK ANANT GAONKAR,Independent,142
Goa - Maem,None of the Above,None of the Above,377
Goa - Sanquelim,DR. PRAMOD PANDURANG SAWANT,Bharatiya Janata Party,10058
Goa - Sanquelim,DHARMESH SAGLANI,Indian National Congress,7927
Goa - Sanquelim,SURESH AMONKAR,Goa Suraksha Manch,3831
Goa - Sanquelim,PRATAP PRABHAKAR GAUNS,Nationalist Congress Party,857
Goa - Sanquelim,MILIND GAUNS,Aam Aadmi Party,408
Goa - Sanquelim,MAHESH SHANTARAM PARAB,Independent,218
Goa - Sanquelim,MOULALI SHAIKH,Goa Su-Raj Party,72
Goa - Sanquelim,None of the Above,None of the Above,329
Goa - Poriem,PRATAPSINGH R RANE,Indian National Congress,14977
